Event,B/S,Symb,Shares,Price,Route,Time,Account,Note,
Send_Rej,Buy,CMND,58,5.61,SMRT,10:02:23,U7595096,AVAILABLE CONVERTED TO BASE: 364.65 USD CASH NEEDED FOR THIS ORDER AND OTHER PENDING ORDERS: 376.69 USD,
Sending,Buy,CMND,58,5.61,SMRT,10:02:23,U7595096,,
Accept,Buy,CMND,58,5.61,SMAT,10:02:23,U7595096,,
Sending,Buy,CMND,58,5.61,SMAT,10:02:23,U7595096,,
Execute,Sell,CMND,53,6.14,SMRT,09:53:11,U7595096,,
Accept,Sell,CMND,53,6.02,SMRT,09:53:11,U7595096,,
Sending,Sell,CMND,53,6.02,SMRT,09:53:11,U7595096,,
Accept,Sell,CMND,53,6.02,SMAT,09:53:11,U7595096,,
Sending,Sell,CMND,53,6.02,SMAT,09:53:11,U7595096,,
Execute,Buy,CMND,53,6.31,SMRT,09:52:02,U7595096,,
Accept,Buy,CMND,53,6.3,SMRT,09:52:02,U7595096,,
Sending,Buy,CMND,53,6.3,SMRT,09:52:02,U7595096,,
Accept,Buy,CMND,53,6.32,SMAT,09:52:02,U7595096,,
Sending,Buy,CMND,53,6.32,SMAT,09:52:02,U7595096,,
Send_Rej,Buy,WNW,2598,0.1301,SMRT,09:41:29,U7595096,AVAILABLE CONVERTED TO BASE: 375.65 USD CASH NEEDED FOR THIS ORDER AND OTHER PENDING ORDERS: 2610.99 USD,
Sending,Buy,WNW,2598,0.1301,SMRT,09:41:29,U7595096,,
Accept,Buy,WNW,2598,0.1301,SMAT,09:41:29,U7595096,,
Sending,Buy,WNW,2598,0.1301,SMAT,09:41:29,U7595096,,
